x1,x2,y
-0.2015173,-0.6833582,0
0.37451947,-0.8280822,0
-0.16189468,-1.2471066,0
0.037710957,-0.047302842,0
-0.26047906,1.770204,0
0.39217335,0.7262509,0
-0.595546,-1.4548001,0
-1.2124729,-1.2988459,0
-0.62402,-1.270223,0
0.5353097,1.390765,0
-0.5185481,-0.42036903,0
-0.7858174,-0.4129369,0
1.8623366,0.29727358,0
2.2053258,0.94095236,0
2.3041508,1.846348,0
0.5081395,0.48041445,0
-0.06520023,-0.33698294,0
0.211607,0.26340404,0
1.1851851,0.6804125,0
0.20656092,-0.27281883,0
0.57237375,0.49751776,0
-1.362221,-1.1368906,0
0.52271503,0.108867854,0
-0.68510455,0.90010005,0
2.7549396,3.1333377,0
-0.524222,0.08927225,0
0.32652107,1.8215883,0
-0.9181183,-0.95447415,0
0.10376971,-0.40270513,0
0.003417652,-0.097937204,0
-1.0090803,-0.7561876,0
-0.16158107,0.31770024,0
-0.59889007,-0.44140363,0
1.0663538,1.794116,0
1.4478691,0.7340012,0
-0.08255798,0.27949637,0
-0.720118,-1.9134995,0
-1.9547904,-0.7976364,0
0.50278777,0.36040312,0
0.748184,0.32158712,0
1.8502665,0.65550137,0
0.09531728,0.27759004,0
-1.3567977,-2.0646126,0
1.9047813,2.0084147,0
0.31028765,0.5621754,0
0.81738514,-0.07302033,0
0.3606143,0.9281597,0
0.08785715,-0.59745413,0
-0.3042862,-1.3270168,0
0.4318568,0.57180774,0
1.699739,0.8551392,0
0.0133942375,-0.043205038,0
0.43441263,0.03479627,0
1.3080337,0.75487655,0
-2.6238837,-3.06659,0
-1.2009866,-1.6162959,0
-1.713232,-0.8420448,0
-0.19499564,-0.64854085,0
0.9471802,1.630066,0
1.6517045,0.75044596,0
-1.9413415,-0.90763456,0
0.051819928,-0.12226778,0
0.4971776,0.74560934,0
0.9877271,-0.08218718,0
0.62611073,0.802324,0
1.8334445,1.140815,0
-0.7120879,0.48242196,0
-0.17758562,-0.15495394,0
-1.4328504,-2.1838648,0
0.38735768,0.9832658,0
-1.1690161,-0.84538,0
2.1890192,2.7116039,0
-0.6407959,-0.60798424,0
-1.1208435,-0.12527359,0
0.2830714,-0.37876278,0
1.69778,1.7428784,0
0.86651224,0.46919978,0
0.9623511,1.1563041,0
-0.8419376,-0.5348279,0
0.7333601,1.3620449,0
0.5854481,-1.1738367,0
0.16236447,-1.2772074,0
0.69083196,1.438698,0
-0.3827556,-0.8384625,0
0.7041824,0.94862384,0
1.5355704,1.8259859,0
0.01341545,0.5325362,0
0.50223947,-0.2674586,0
-0.06548457,-0.31285486,0
1.7408735,0.9180922,0
0.9239741,0.9593448,0
-0.70591277,-0.7260759,0
1.2626747,0.9928817,0
-0.9111297,-0.14933762,0
0.7793548,0.9798953,0
1.1267093,-0.3964866,0
1.411255,1.0108765,0
0.62423676,0.3443085,0
0.4348122,0.6945982,0
1.4610959,0.33305085,0
-0.25611702,-0.693371,0
-0.44471237,-1.0347258,0
-0.7869355,-1.6628585,0
0.8789329,1.3711829,0
-1.3825469,-1.9456282,0
-2.0064394,-0.9304608,0
-0.6620992,-0.81569755,0
2.597114,1.4888879,0
0.58042544,0.9343289,0
0.4158432,-0.0538194,0
0.50820965,-0.66447407,0
-0.017328708,-0.6937987,0
-1.241061,-1.1346277,0
0.9055802,0.52584946,0
1.448896,1.5655607,0
0.9862944,0.90469474,0
-1.1859105,-0.9469066,0
-1.3778467,0.48824063,0
-1.039353,-0.25359082,0
0.66387427,-0.18179102,0
0.20130315,-0.6213922,0
2.6111307,3.0311306,0
0.06930751,-0.68928707,0
-1.1759323,-1.2364051,0
0.78656524,0.105116196,0
-0.92216843,-1.2367362,0
0.6446638,0.30879286,0
1.338921,0.14170535,0
1.0071266,0.37946224,0
-0.18363068,-1.115444,0
-0.4535698,-0.82337433,0
0.8282449,0.70287514,0
-0.066207804,0.0054019736,0
-0.6131419,-0.46438295,0
1.7009227,1.2106749,0
-1.477021,-1.5623443,0
2.1377628,2.2560315,0
-2.0034394,-1.1769032,0
-0.12879635,0.025268624,0
-0.5479261,-0.6598336,0
-0.11979218,1.0342926,0
0.018449454,0.7321747,0
1.7543477,1.196919,0
0.9366079,1.2269073,0
0.82242906,0.36220264,0
0.8146973,0.91592926,0
-0.7004626,-1.1245534,0
-0.56131196,-0.5744664,0
0.4588705,0.7039611,0
-0.3301033,-2.172114,0
-1.2746745,-0.026014848,0
-0.1077923,0.43203828,0
-1.0968424,-0.7308395,0
-0.6942718,0.22811565,0
-1.1102469,-0.9786149,0
-0.3002312,-0.9400983,0
0.102052115,0.19529496,0
0.27661186,-0.19457269,0
-1.3075433,-1.0596128,0
-0.23035553,-1.1497015,0
0.7232926,0.23338112,0
-0.42314616,0.76647425,0
-2.440758,-2.2986567,0
-0.28380868,-0.42051896,0
0.18693945,0.8165227,0
0.74635375,0.012773575,0
-0.542438,-0.65311146,0
-0.4235038,-0.1964754,0
-1.1427796,-0.6924831,0
-0.843754,-0.9022199,0
-0.072618015,0.21760038,0
-0.44318724,-0.07180963,0
-1.1484592,0.40254465,0
-0.03298157,0.33097252,0
-0.6419839,0.32712704,0
1.107375,0.2560863,0
-1.4255128,-0.87428766,0
0.056940433,-0.4605462,0
-1.3684059,-1.0464947,0
0.6989723,0.36988434,0
0.091924205,1.0915074,0
0.5157265,-0.20278695,0
0.14578995,0.93865246,0
-0.331211,-0.82787526,0
1.2907349,0.8810877,0
-0.11695094,-0.40658313,0
0.525531,0.54031134,0
0.9291572,0.14870904,0
1.6512496,0.9865944,0
0.5866776,0.76453245,0
0.22256581,-0.3694559,0
-0.5948038,-1.4533701,0
-0.48508516,-1.3108447,0
0.01997384,0.6050511,0
-0.506718,-1.1115806,0
0.33090666,-0.46526366,0
0.04393357,0.34203592,0
-0.0070111924,1.0402507,0
-0.7052577,-0.22253475,0
0.5754618,0.48226124,0
-0.5882411,0.02535761,0
-0.5192069,-0.8056438,0
1.2037146,0.36622766,0
-2.4028397,-1.5998797,0
-1.3086945,-1.412801,0
-2.0783296,-1.7146807,0
-0.036754146,-0.4084452,0
1.0791256,1.5620198,0
-0.068609595,-0.07117743,0
1.9696754,0.5539138,0
0.72465676,1.351685,0
-1.5503203,-2.0116212,0
0.863234,-0.24695508,0
0.83343065,1.0595385,0
0.687212,0.7593557,0
-1.0865779,-1.2192366,0
0.49686024,1.6732818,0
-0.6402584,-0.4952276,0
-0.21863219,-0.3723347,0
-0.15521383,-1.138415,0
0.43812954,-0.39898488,0
-0.16090931,0.2930932,0
-0.46033314,0.7816159,0
0.2727588,-0.21563838,0
-0.38780385,-0.2167074,0
-0.33682972,-0.2974006,0
-0.24988611,0.41946587,0
1.2485697,1.7840254,0
0.56806636,0.49652234,0
0.37557802,1.2739406,0
2.3590744,1.4909388,0
0.15119688,0.6363147,0
1.049206,1.4192256,0
-0.69989634,-1.3351028,0
2.1269188,2.65973,0
0.19171199,0.12638314,0
-1.273646,-0.7374093,0
0.47786087,0.58477706,0
0.6676066,0.98367006,0
-0.11264609,0.24744825,0
0.52308506,0.6788661,0
-0.5118632,-0.11011945,0
0.6396786,-0.7948866,0
-0.055000566,-0.8940982,0
-0.9485622,-0.96207035,0
0.23223843,-0.22734584,0
-1.3658341,-1.9156959,0
-1.8804339,-0.7194194,0
-3.451345,-2.4727404,0
0.39470205,-0.25005654,0
1.1850173,0.15191482,0
-1.4479362,-1.1802932,0
0.71221703,1.2774488,0
-0.51927716,0.24736679,0
-0.022471942,-0.7547156,0
-0.5521995,0.13569903,0
-0.21710555,-0.10046146,0
1.311445,0.9009983,0
-0.4152195,0.1945769,0
0.60048455,0.37832284,0
-1.7362293,-2.379277,0
0.492417,-0.15416585,0
-0.34743023,0.26298726,0
-0.975575,-0.65560997,0
-1.2346729,-1.2114104,0
-0.3113596,-0.9934231,0
-0.78553826,-1.2007571,0
-0.88056344,-1.5968583,0
-0.43911797,-0.20644057,0
-0.26196006,-0.3482794,0
-1.6445197,-1.3414376,0
1.2268982,0.87869304,0
-0.8771815,-1.4952097,0
-1.6172307,-1.8611647,0
1.3717293,2.019795,0
2.1431699,-0.48067668,0
0.42610407,-0.48575172,0
-0.4224997,0.06786708,0
-0.6689354,-0.83137715,0
1.0438393,1.9572747,0
-0.09943829,-0.068670735,0
1.7109144,1.2052174,0
-0.04331735,-0.20229058,0
0.22282304,-0.49470812,0
1.5114677,1.730902,0
-0.21937966,0.5400892,0
-1.1901487,-1.3112231,0
-0.10217326,0.80815506,0
-0.53159773,-1.1658379,0
-1.8398594,-1.6501514,0
0.6197696,-0.31828353,0
0.14294167,0.5431626,0
-0.8516463,0.15583299,0
-0.5760448,-1.265345,0
0.3233812,0.07128056,0
0.9460459,0.42703867,0
1.2251177,0.54460543,0
-0.022960974,0.21387076,0
-0.83090705,-1.4406629,0
1.6333349,-0.59759676,0
0.1188777,0.24247818,0
0.52157104,0.5380277,0
1.0641147,0.5034481,0
1.756526,0.9598893,0
1.3600199,2.1744053,0
-0.77103776,-0.7390297,0
-0.3823553,0.6711982,0
-0.23518778,-0.73687536,0
-0.17302962,0.06398482,0
-0.37647045,-0.15532771,0
1.8465656,1.2903475,0
1.7658495,1.9872323,0
0.83472836,-0.07058875,0
-2.5164433,-1.6033146,0
0.16321896,0.7539378,0
0.22960895,0.9129177,0
-0.59057987,-0.9343154,0
-1.2185491,0.07711013,0
-0.5758314,-1.3780569,0
-0.7459632,-0.14439674,0
-0.71863455,0.13828667,0
1.3423789,-0.24053688,0
-1.1826112,-1.8977869,0
0.5130313,-0.50518876,0
-0.5497955,-1.2205575,0
-0.27243495,-0.18889569,0
-2.212329,-0.7699256,0
-1.2505155,-0.43093807,0
-0.47237575,-0.23149912,0
0.47599733,0.93680644,0
1.476436,2.1498463,0
-0.1889564,-0.15577805,0
-0.5042828,-1.7832015,0
0.6316925,1.0651159,0
0.041319273,0.49416983,0
0.58056283,-0.21544915,0
-0.52915204,-0.35911873,0
